Waiting for operation to complete...
Transcript: road paving have you ever heard something like this on the news Air Force One has landed and the president and first lady are now walking across the tarmac ever wonder what tarmac is if so take heart you're not alone parmak it turns out is a type of surface pavement and is short for tar penetration Macadam got that it's a mouthful actually here in the United States we don't use tarmac much anymore because it's been supplanted that is upstaged by asphalt but we still use the term when referring to the pavement at airports the Macadam part of tarmac refers to a Scotsman named John McAdam McAdam in the early 19th century invented a method of strengthening paved roads to increase the way water drains down roadways he named his technique modestly Mac Adam Rose
Confidence: 0.9679008722305298
Word: road, start_time: 0.0, end_time: 1.5
Word: Purnell, start_time: 91.1, end_time: 91.7
Word: who, start_time: 91.7, end_time: 92.1
Word: invented, start_time: 92.1, end_time: 92.9
Word: a, start_time: 92.9, end_time: 93.0
Word: mixture, start_time: 93.0, end_time: 93.6
Word: of, start_time: 93.6, end_time: 94.0
Word: par, start_time: 94.0, end_time: 94.7
Word: and, start_time: 94.7, end_time: 95.1
Word: furnace, start_time: 95.1, end_time: 95.6
Word: waste, start_time: 95.6, end_time: 96.2
Word: called, start_time: 96.2, end_time: 96.8
Word: slag, start_time: 96.8, end_time: 97.5
Word: to, start_time: 97.5, end_time: 97.9
Word: come, start_time: 97.9, end_time: 98.1
Word: up, start_time: 98.1, end_time: 98.2
Word: with, start_time: 98.2, end_time: 98.4
Word: the, start_time: 98.4, end_time: 98.5
Word: infamous, start_time: 98.5, end_time: 99.2
Word: car, start_time: 99.2, end_time: 100.0
Word: penetration, start_time: 100.0, end_time: 100.9
Word: Macadam, start_time: 100.9, end_time: 101.5
Word: tarmac, start_time: 101.5, end_time: 102.6
Word: that, start_time: 102.6, end_time: 103.3
Word: improve, start_time: 103.3, end_time: 103.7
Word: the, start_time: 103.7, end_time: 103.8
Word: dust, start_time: 103.8, end_time: 104.2
Word: resistance, start_time: 104.2, end_time: 105.0
Word: on, start_time: 105.0, end_time: 105.3
Word: Macadam, start_time: 105.3, end_time: 105.7
Word: roads, start_time: 105.7, end_time: 106.2
Word: soon, start_time: 106.2, end_time: 107.2
Word: roads, start_time: 107.2, end_time: 107.7
Word: throughout, start_time: 107.7, end_time: 107.9
Word: England, start_time: 107.9, end_time: 108.2
Word: where, start_time: 108.2, end_time: 108.5
Word: we, start_time: 108.5, end_time: 108.7
Word: surfaced, start_time: 108.7, end_time: 109.2
Word: with, start_time: 109.2, end_time: 109.3
Word: hooley's, start_time: 109.3, end_time: 109.8
Word: invention, start_time: 109.8, end_time: 110.3
Word: in, start_time: 110.3, end_time: 110.7
Word: the, start_time: 110.7, end_time: 110.8
Word: company, start_time: 110.8, end_time: 111.3
Word: he, start_time: 111.3, end_time: 111.4
Word: founded, start_time: 111.4, end_time: 111.5
Word: parmak, start_time: 111.5, end_time: 112.7
Word: limited, start_time: 112.7, end_time: 113.2
Word: became, start_time: 113.2, end_time: 113.8
Word: very, start_time: 113.8, end_time: 114.1
Word: profitable, start_time: 114.1, end_time: 114.8
Word: during, start_time: 114.8, end_time: 115.7
Word: World, start_time: 115.7, end_time: 116.0
Word: War, start_time: 116.0, end_time: 116.2
Word: II, start_time: 116.2, end_time: 116.5
Word: the, start_time: 116.5, end_time: 116.7
Word: British, start_time: 116.7, end_time: 117.0
Word: use, start_time: 117.0, end_time: 117.2
Word: tarmac, start_time: 117.2, end_time: 117.7
Word: to, start_time: 117.7, end_time: 117.8
Word: build, start_time: 117.8, end_time: 118.2
Word: air, start_time: 118.2, end_time: 118.4
Word: strips, start_time: 118.4, end_time: 118.8
Word: for, start_time: 118.8, end_time: 118.9
Word: jet, start_time: 118.9, end_time: 119.2
Word: fighters, start_time: 119.2, end_time: 119.6
Word: which, start_time: 119.6, end_time: 120.1
Word: is, start_time: 120.1, end_time: 120.3
Word: why, start_time: 120.3, end_time: 120.5
Word: we, start_time: 120.5, end_time: 120.8
Word: still, start_time: 120.8, end_time: 121.0
Word: use, start_time: 121.0, end_time: 121.3
Word: the, start_time: 121.3, end_time: 121.4
Word: term, start_time: 121.4, end_time: 121.7
Word: tarmac, start_time: 121.7, end_time: 122.2
Word: today, start_time: 122.2, end_time: 122.5
Word: as, start_time: 122.5, end_time: 122.7
Word: a, start_time: 122.7, end_time: 122.7
Word: synonym, start_time: 122.7, end_time: 123.0
Word: for, start_time: 123.0, end_time: 123.7
Word: runways, start_time: 123.7, end_time: 124.4
Word: another, start_time: 124.4, end_time: 124.7
Word: pave, start_time: 124.7, end_time: 125.1
Word: airport, start_time: 125.1, end_time: 125.5
Word: areas, start_time: 125.5, end_time: 126.0
Transcript:  okay now from Britain tarmac spread to United States but American preferred asphalt which is a substance that occurs naturally lakes and rocks as well as synthetic Lee as a byproduct of petroleum production asphalt is more resilient than car and hold up better in a wider range of temperatures its first recorded use dates back to about 3000 BC when the Sumerians used it to preserve mommy's waterproof ships and cement brick hot mix asphalt or HMA is a combination of Aggregates like sand gravel crushed stone minerals and an asphalt binder like coal tar was first used in the US for crosswalks and sidewalks in the late 1860's the first road was paved with HMA in 1870 in New Jersey
Confidence: 0.9611953496932983
Word: okay, start_time: 126.6, end_time: 127.2
Word: now, start_time: 127.2, end_time: 127.9
Word: from, start_time: 127.9, end_time: 128.2
Word: Britain, start_time: 128.2, end_time: 128.6
Word: tarmac, start_time: 128.6, end_time: 129.3
Word: spread, start_time: 129.3, end_time: 129.6
Word: to, start_time: 129.6, end_time: 129.7
Word: United, start_time: 129.7, end_time: 130.2
Word: States, start_time: 130.2, end_time: 130.5
Word: but, start_time: 130.5, end_time: 131.2
Word: American, start_time: 131.2, end_time: 131.7
Word: preferred, start_time: 131.7, end_time: 132.2
Word: asphalt, start_time: 132.2, end_time: 132.4
Word: which, start_time: 132.4, end_time: 133.3
Word: is, start_time: 133.3, end_time: 133.4
Word: a, start_time: 133.4, end_time: 133.5
Word: substance, start_time: 133.5, end_time: 133.8
Word: that, start_time: 133.8, end_time: 134.0
Word: occurs, start_time: 134.0, end_time: 134.4
Word: naturally, start_time: 134.4, end_time: 134.6
Word: lakes, start_time: 134.6, end_time: 135.6
Word: and, start_time: 135.6, end_time: 135.8
Word: rocks, start_time: 135.8, end_time: 136.2
Word: as, start_time: 136.2, end_time: 136.6
Word: well, start_time: 136.6, end_time: 136.8
Word: as, start_time: 136.8, end_time: 136.9
Word: synthetic, start_time: 136.9, end_time: 137.1
Word: Lee, start_time: 137.1, end_time: 137.6
Word: as, start_time: 137.6, end_time: 137.8
Word: a, start_time: 137.8, end_time: 137.9
Word: byproduct, start_time: 137.9, end_time: 138.2
Word: of, start_time: 138.2, end_time: 138.6
Word: petroleum, start_time: 138.6, end_time: 138.8
Word: production, start_time: 138.8, end_time: 139.4
Word: asphalt, start_time: 139.4, end_time: 140.8
Word: is, start_time: 140.8, end_time: 140.9
Word: more, start_time: 140.9, end_time: 141.1
Word: resilient, start_time: 141.1, end_time: 141.7
Word: than, start_time: 141.7, end_time: 142.0
Word: car, start_time: 142.0, end_time: 142.5
Word: and, start_time: 142.5, end_time: 143.0
Word: hold, start_time: 143.0, end_time: 143.2
Word: up, start_time: 143.2, end_time: 143.3
Word: better, start_time: 143.3, end_time: 143.6
Word: in, start_time: 143.6, end_time: 143.8
Word: a, start_time: 143.8, end_time: 143.9
Word: wider, start_time: 143.9, end_time: 144.4
Word: range, start_time: 144.4, end_time: 144.6
Word: of, start_time: 144.6, end_time: 144.8
Word: temperatures, start_time: 144.8, end_time: 145.5
Word: its, start_time: 145.5, end_time: 146.4
Word: first, start_time: 146.4, end_time: 146.7
Word: recorded, start_time: 146.7, end_time: 147.2
Word: use, start_time: 147.2, end_time: 147.4
Word: dates, start_time: 147.4, end_time: 147.7
Word: back, start_time: 147.7, end_time: 147.9
Word: to, start_time: 147.9, end_time: 148.0
Word: about, start_time: 148.0, end_time: 148.1
Word: 3000, start_time: 148.1, end_time: 149.0
Word: BC, start_time: 149.0, end_time: 149.1
Word: when, start_time: 149.1, end_time: 150.0
Word: the, start_time: 150.0, end_time: 150.1
Word: Sumerians, start_time: 150.1, end_time: 150.8
Word: used, start_time: 150.8, end_time: 151.1
Word: it, start_time: 151.1, end_time: 151.2
Word: to, start_time: 151.2, end_time: 151.3
Word: preserve, start_time: 151.3, end_time: 151.5
Word: mommy's, start_time: 151.5, end_time: 152.2
Word: waterproof, start_time: 152.2, end_time: 153.1
Word: ships, start_time: 153.1, end_time: 153.6
Word: and, start_time: 153.6, end_time: 153.8
Word: cement, start_time: 153.8, end_time: 154.2
Word: brick, start_time: 154.2, end_time: 154.6
Word: hot, start_time: 154.6, end_time: 155.6
Word: mix, start_time: 155.6, end_time: 155.9
Word: asphalt, start_time: 155.9, end_time: 156.2
Word: or, start_time: 156.2, end_time: 156.8
Word: HMA, start_time: 156.8, end_time: 157.3
Word: is, start_time: 157.3, end_time: 158.0
Word: a, start_time: 158.0, end_time: 158.0
Word: combination, start_time: 158.0, end_time: 158.5
Word: of, start_time: 158.5, end_time: 158.9
Word: Aggregates, start_time: 158.9, end_time: 159.7
Word: like, start_time: 159.7, end_time: 159.9
Word: sand, start_time: 159.9, end_time: 160.6
Word: gravel, start_time: 160.6, end_time: 161.2
Word: crushed, start_time: 161.2, end_time: 161.9
Word: stone, start_time: 161.9, end_time: 162.2
Word: minerals, start_time: 162.2, end_time: 162.8
Word: and, start_time: 162.8, end_time: 163.5
Word: an, start_time: 163.5, end_time: 163.6
Word: asphalt, start_time: 163.6, end_time: 164.0
Word: binder, start_time: 164.0, end_time: 164.4
Word: like, start_time: 164.4, end_time: 164.8
Word: coal, start_time: 164.8, end_time: 165.1
Word: tar, start_time: 165.1, end_time: 165.4
Word: was, start_time: 165.4, end_time: 166.0
Word: first, start_time: 166.0, end_time: 166.4
Word: used, start_time: 166.4, end_time: 166.5
Word: in, start_time: 166.5, end_time: 166.7
Word: the, start_time: 166.7, end_time: 166.7
Word: US, start_time: 166.7, end_time: 166.9
Word: for, start_time: 166.9, end_time: 167.3
Word: crosswalks, start_time: 167.3, end_time: 168.1
Word: and, start_time: 168.1, end_time: 168.1
Word: sidewalks, start_time: 168.1, end_time: 168.8
Word: in, start_time: 168.8, end_time: 168.9
Word: the, start_time: 168.9, end_time: 168.9
Word: late, start_time: 168.9, end_time: 169.2
Word: 1860's, start_time: 169.2, end_time: 169.7
Word: the, start_time: 169.7, end_time: 170.8
Word: first, start_time: 170.8, end_time: 171.0
Word: road, start_time: 171.0, end_time: 171.4
Word: was, start_time: 171.4, end_time: 171.6
Word: paved, start_time: 171.6, end_time: 171.7
Word: with, start_time: 171.7, end_time: 171.9
Word: HMA, start_time: 171.9, end_time: 172.4
Word: in, start_time: 172.4, end_time: 173.0
Word: 1870, start_time: 173.0, end_time: 173.9
Word: in, start_time: 173.9, end_time: 174.3
Word: New, start_time: 174.3, end_time: 174.4
Word: Jersey, start_time: 174.4, end_time: 174.9
Transcript:  till about 1900 us producers use natural asphalt which I got mainly from two large lakes in Venezuela refine petroleum asphalt first appeared in 1870s and by 1907 its production outpaced natural asphalt HMA pavement took its modern form in the early 20th century when Frederick Warren Hern patents for hot mix asphalt paving that he turned little lisic that's it b i t u l i t h i c typically Little Mix contains ingredients that make it more fluid than she asphalt Laura Ingalls Wilder a noted American author describe this fluidity upon her first encounter with asphalt Ashi wash ladies walk across the asphalt pavement she said their heels dented the street I want we watch these then slowly fill up and Sue themselves out o She Wrote
Confidence: 0.9648054838180542
Word: till, start_time: 175.5, end_time: 176.0
Word: about, start_time: 176.0, end_time: 176.1
Word: 1900, start_time: 176.1, end_time: 177.2
Word: us, start_time: 177.2, end_time: 177.7
Word: producers, start_time: 177.7, end_time: 178.3
Word: use, start_time: 178.3, end_time: 178.6
Word: natural, start_time: 178.6, end_time: 179.1
Word: asphalt, start_time: 179.1, end_time: 179.7
Word: which, start_time: 179.7, end_time: 180.0
Word: I, start_time: 180.0, end_time: 180.1
Word: got, start_time: 180.1, end_time: 180.3
Word: mainly, start_time: 180.3, end_time: 180.6
Word: from, start_time: 180.6, end_time: 180.8
Word: two, start_time: 180.8, end_time: 181.6
Word: large, start_time: 181.6, end_time: 182.1
Word: lakes, start_time: 182.1, end_time: 182.6
Word: in, start_time: 182.6, end_time: 182.8
Word: Venezuela, start_time: 182.8, end_time: 183.6
Word: refine, start_time: 183.6, end_time: 184.8
Word: petroleum, start_time: 184.8, end_time: 185.1
Word: asphalt, start_time: 185.1, end_time: 186.1
Word: first, start_time: 186.1, end_time: 186.5
Word: appeared, start_time: 186.5, end_time: 186.9
Word: in, start_time: 186.9, end_time: 187.0
Word: 1870s, start_time: 187.0, end_time: 188.1
Word: and, start_time: 188.1, end_time: 188.4
Word: by, start_time: 188.4, end_time: 188.7
Word: 1907, start_time: 188.7, end_time: 189.5
Word: its, start_time: 189.5, end_time: 189.7
Word: production, start_time: 189.7, end_time: 190.0
Word: outpaced, start_time: 190.0, end_time: 190.8
Word: natural, start_time: 190.8, end_time: 191.3
Word: asphalt, start_time: 191.3, end_time: 191.9
Word: HMA, start_time: 191.9, end_time: 193.2
Word: pavement, start_time: 193.2, end_time: 193.6
Word: took, start_time: 193.6, end_time: 193.9
Word: its, start_time: 193.9, end_time: 194.0
Word: modern, start_time: 194.0, end_time: 194.5
Word: form, start_time: 194.5, end_time: 194.6
Word: in, start_time: 194.6, end_time: 195.4
Word: the, start_time: 195.4, end_time: 195.4
Word: early, start_time: 195.4, end_time: 195.9
Word: 20th, start_time: 195.9, end_time: 196.3
Word: century, start_time: 196.3, end_time: 196.3
Word: when, start_time: 196.3, end_time: 197.0
Word: Frederick, start_time: 197.0, end_time: 197.5
Word: Warren, start_time: 197.5, end_time: 198.0
Word: Hern, start_time: 198.0, end_time: 198.2
Word: patents, start_time: 198.2, end_time: 198.7
Word: for, start_time: 198.7, end_time: 199.1
Word: hot, start_time: 199.1, end_time: 199.5
Word: mix, start_time: 199.5, end_time: 199.9
Word: asphalt, start_time: 199.9, end_time: 200.2
Word: paving, start_time: 200.2, end_time: 200.8
Word: that, start_time: 200.8, end_time: 201.1
Word: he, start_time: 201.1, end_time: 201.2
Word: turned, start_time: 201.2, end_time: 201.7
Word: little, start_time: 201.7, end_time: 202.2
Word: lisic, start_time: 202.2, end_time: 202.8
Word: that's, start_time: 202.8, end_time: 203.6
Word: it, start_time: 203.6, end_time: 203.8
Word: b, start_time: 203.8, end_time: 204.4
Word: i, start_time: 204.4, end_time: 204.9
Word: t, start_time: 204.9, end_time: 205.5
Word: u, start_time: 205.5, end_time: 206.2
Word: l, start_time: 206.2, end_time: 206.8
Word: i, start_time: 206.8, end_time: 206.9
Word: t, start_time: 206.9, end_time: 207.9
Word: h, start_time: 207.9, end_time: 208.5
Word: i, start_time: 208.5, end_time: 208.8
Word: c, start_time: 208.8, end_time: 209.1
Word: typically, start_time: 209.1, end_time: 210.9
Word: Little, start_time: 210.9, end_time: 211.4
Word: Mix, start_time: 211.4, end_time: 212.1
Word: contains, start_time: 212.1, end_time: 212.5
Word: ingredients, start_time: 212.5, end_time: 212.7
Word: that, start_time: 212.7, end_time: 213.6
Word: make, start_time: 213.6, end_time: 213.8
Word: it, start_time: 213.8, end_time: 213.9
Word: more, start_time: 213.9, end_time: 214.0
Word: fluid, start_time: 214.0, end_time: 214.8
Word: than, start_time: 214.8, end_time: 215.3
Word: she, start_time: 215.3, end_time: 215.6
Word: asphalt, start_time: 215.6, end_time: 216.6
Word: Laura, start_time: 216.6, end_time: 217.4
Word: Ingalls, start_time: 217.4, end_time: 217.8
Word: Wilder, start_time: 217.8, end_time: 218.3
Word: a, start_time: 218.3, end_time: 218.7
Word: noted, start_time: 218.7, end_time: 219.1
Word: American, start_time: 219.1, end_time: 219.4
Word: author, start_time: 219.4, end_time: 220.1
Word: describe, start_time: 220.1, end_time: 220.9
Word: this, start_time: 220.9, end_time: 221.0
Word: fluidity, start_time: 221.0, end_time: 221.7
Word: upon, start_time: 221.7, end_time: 222.2
Word: her, start_time: 222.2, end_time: 222.3
Word: first, start_time: 222.3, end_time: 222.7
