Waiting for operation to complete...
Transcript: good morning everyone today I want to start with a look at perspective visual perspective first will look briefly at the kind of perspective and then we'll look very quickly at its history and are just in case you don't know what we're discussing perspective in art is the way that artist represent three-dimensional objects on their two-dimensional canvas there two basic source of perspective aerial perspective and linear perspective aerial perspective
Confidence: 0.9552902579307556
Word: good, start_time: 0.0, end_time: 0.2
Word: impression, start_time: 59.2, end_time: 59.8
Word: is, start_time: 59.8, end_time: 59.9
Word: used, start_time: 59.9, end_time: 60.3
Word: to, start_time: 60.3, end_time: 60.4
Word: create, start_time: 60.4, end_time: 60.6
Word: their, start_time: 60.6, end_time: 60.8
Word: own, start_time: 60.8, end_time: 60.9
Word: effects, start_time: 60.9, end_time: 61.4
Word: just, start_time: 61.4, end_time: 62.1
Word: think, start_time: 62.1, end_time: 62.3
Word: of, start_time: 62.3, end_time: 62.4
Word: the, start_time: 62.4, end_time: 62.5
Word: many, start_time: 62.5, end_time: 62.7
Word: of, start_time: 62.7, end_time: 62.9
Word: Turner's, start_time: 62.9, end_time: 63.3
Word: Landscapes, start_time: 63.3, end_time: 64.2
Word: or, start_time: 64.2, end_time: 64.4
Word: cityscapes, start_time: 64.4, end_time: 65.3
Word: like, start_time: 65.3, end_time: 65.8
Word: Dido, start_time: 65.8, end_time: 66.3
Word: building, start_time: 66.3, end_time: 66.7
Word: in, start_time: 66.7, end_time: 66.8
Word: Carthage, start_time: 66.8, end_time: 67.4
Word: just, start_time: 67.4, end_time: 68.0
Word: to, start_time: 68.0, end_time: 68.1
Word: get, start_time: 68.1, end_time: 68.3
Word: an, start_time: 68.3, end_time: 68.3
Word: idea, start_time: 68.3, end_time: 68.4
Word: of, start_time: 68.4, end_time: 68.9
Word: how, start_time: 68.9, end_time: 69.1
Word: the, start_time: 69.1, end_time: 69.5
Word: air, start_time: 69.5, end_time: 69.8
Word: can, start_time: 69.8, end_time: 70.0
Word: affect, start_time: 70.0, end_time: 70.2
Word: what, start_time: 70.2, end_time: 70.5
Word: we, start_time: 70.5, end_time: 70.7
Word: see, start_time: 70.7, end_time: 71.0
Transcript:  yellow perspective linear perspective is the way that things seem to get smaller farther away they get classic example of this is the way we perceive railroad tracks or line of telephone pole running away from us they seem to get smaller and smaller as they recede till they vanish to a point on the horizon and this point is appropriately called the vanishing point the effect happens whenever parallel lines like the 2 train tracks or tops of telephone poles move in the same direction now cube with one of its faces squarely perpendicular to us has a single vanishing point directly behind it on the horizon but a cube with a vertical Edge facing us has two vanishing point one to the right one to the left at least points are left and right respectively on the horizon for the parallel lines of the phases converge
Confidence: 0.971825897693634
Word: yellow, start_time: 72.6, end_time: 73.1
Word: perspective, start_time: 73.1, end_time: 73.7
Word: linear, start_time: 73.7, end_time: 74.0
Word: perspective, start_time: 74.0, end_time: 74.4
Word: is, start_time: 74.4, end_time: 75.1
Word: the, start_time: 75.1, end_time: 75.3
Word: way, start_time: 75.3, end_time: 75.5
Word: that, start_time: 75.5, end_time: 75.7
Word: things, start_time: 75.7, end_time: 76.1
Word: seem, start_time: 76.1, end_time: 76.6
Word: to, start_time: 76.6, end_time: 76.6
Word: get, start_time: 76.6, end_time: 76.8
Word: smaller, start_time: 76.8, end_time: 77.3
Word: farther, start_time: 77.3, end_time: 78.1
Word: away, start_time: 78.1, end_time: 78.2
Word: they, start_time: 78.2, end_time: 78.5
Word: get, start_time: 78.5, end_time: 78.7
Word: classic, start_time: 78.7, end_time: 79.9
Word: example, start_time: 79.9, end_time: 80.3
Word: of, start_time: 80.3, end_time: 80.4
Word: this, start_time: 80.4, end_time: 80.6
Word: is, start_time: 80.6, end_time: 80.7
Word: the, start_time: 80.7, end_time: 80.8
Word: way, start_time: 80.8, end_time: 81.0
Word: we, start_time: 81.0, end_time: 81.1
Word: perceive, start_time: 81.1, end_time: 81.4
Word: railroad, start_time: 81.4, end_time: 82.1
Word: tracks, start_time: 82.1, end_time: 82.6
Word: or, start_time: 82.6, end_time: 82.7
Word: line, start_time: 82.7, end_time: 83.5
Word: of, start_time: 83.5, end_time: 83.5
Word: telephone, start_time: 83.5, end_time: 84.3
Word: pole, start_time: 84.3, end_time: 84.5
Word: running, start_time: 84.5, end_time: 84.9
Word: away, start_time: 84.9, end_time: 85.1
Word: from, start_time: 85.1, end_time: 85.2
Word: us, start_time: 85.2, end_time: 85.5
Word: they, start_time: 85.5, end_time: 86.1
Word: seem, start_time: 86.1, end_time: 86.3
Word: to, start_time: 86.3, end_time: 86.5
Word: get, start_time: 86.5, end_time: 86.6
Word: smaller, start_time: 86.6, end_time: 87.2
Word: and, start_time: 87.2, end_time: 87.4
Word: smaller, start_time: 87.4, end_time: 87.5
Word: as, start_time: 87.5, end_time: 87.9
Word: they, start_time: 87.9, end_time: 88.0
Word: recede, start_time: 88.0, end_time: 88.6
Word: till, start_time: 88.6, end_time: 89.3
Word: they, start_time: 89.3, end_time: 89.3
Word: vanish, start_time: 89.3, end_time: 89.7
Word: to, start_time: 89.7, end_time: 89.9
Word: a, start_time: 89.9, end_time: 89.9
Word: point, start_time: 89.9, end_time: 90.2
Word: on, start_time: 90.2, end_time: 90.3
Word: the, start_time: 90.3, end_time: 90.4
Word: horizon, start_time: 90.4, end_time: 90.5
Word: and, start_time: 90.5, end_time: 91.4
Word: this, start_time: 91.4, end_time: 91.7
Word: point, start_time: 91.7, end_time: 91.9
Word: is, start_time: 91.9, end_time: 92.2
Word: appropriately, start_time: 92.2, end_time: 92.7
Word: called, start_time: 92.7, end_time: 93.0
Word: the, start_time: 93.0, end_time: 93.4
Word: vanishing, start_time: 93.4, end_time: 94.0
Word: point, start_time: 94.0, end_time: 94.3
Word: the, start_time: 94.3, end_time: 95.0
Word: effect, start_time: 95.0, end_time: 95.6
Word: happens, start_time: 95.6, end_time: 96.4
Word: whenever, start_time: 96.4, end_time: 96.6
Word: parallel, start_time: 96.6, end_time: 97.5
Word: lines, start_time: 97.5, end_time: 97.9
Word: like, start_time: 97.9, end_time: 98.5
Word: the, start_time: 98.5, end_time: 98.6
Word: 2, start_time: 98.6, end_time: 98.8
Word: train, start_time: 98.8, end_time: 99.2
Word: tracks, start_time: 99.2, end_time: 99.7
Word: or, start_time: 99.7, end_time: 100.2
Word: tops, start_time: 100.2, end_time: 100.7
Word: of, start_time: 100.7, end_time: 100.8
Word: telephone, start_time: 100.8, end_time: 101.3
Word: poles, start_time: 101.3, end_time: 101.7
Word: move, start_time: 101.7, end_time: 102.5
Word: in, start_time: 102.5, end_time: 102.8
Word: the, start_time: 102.8, end_time: 102.9
Word: same, start_time: 102.9, end_time: 103.0
Word: direction, start_time: 103.0, end_time: 103.2
Word: now, start_time: 103.2, end_time: 104.7
Word: cube, start_time: 104.7, end_time: 109.0
Word: with, start_time: 109.0, end_time: 109.6
Word: one, start_time: 109.6, end_time: 109.8
Word: of, start_time: 109.8, end_time: 110.0
Word: its, start_time: 110.0, end_time: 110.0
Word: faces, start_time: 110.0, end_time: 110.7
Word: squarely, start_time: 110.7, end_time: 111.6
Word: perpendicular, start_time: 111.6, end_time: 112.3
Word: to, start_time: 112.3, end_time: 112.4
Word: us, start_time: 112.4, end_time: 112.6
Word: has, start_time: 112.6, end_time: 113.1
Word: a, start_time: 113.1, end_time: 113.2
Word: single, start_time: 113.2, end_time: 113.6
Word: vanishing, start_time: 113.6, end_time: 114.1
Word: point, start_time: 114.1, end_time: 114.5
Word: directly, start_time: 114.5, end_time: 115.0
Word: behind, start_time: 115.0, end_time: 115.3
Word: it, start_time: 115.3, end_time: 115.7
Word: on, start_time: 115.7, end_time: 116.1
Word: the, start_time: 116.1, end_time: 116.2
Word: horizon, start_time: 116.2, end_time: 116.3
Word: but, start_time: 116.3, end_time: 117.5
Word: a, start_time: 117.5, end_time: 117.5
Word: cube, start_time: 117.5, end_time: 117.9
Word: with, start_time: 117.9, end_time: 118.0
Word: a, start_time: 118.0, end_time: 118.1
Word: vertical, start_time: 118.1, end_time: 118.6
Word: Edge, start_time: 118.6, end_time: 119.1
Word: facing, start_time: 119.1, end_time: 119.8
Word: us, start_time: 119.8, end_time: 120.1
Word: has, start_time: 120.1, end_time: 120.5
Word: two, start_time: 120.5, end_time: 120.8
Word: vanishing, start_time: 120.8, end_time: 121.2
Word: point, start_time: 121.2, end_time: 121.7
Word: one, start_time: 121.7, end_time: 122.5
Word: to, start_time: 122.5, end_time: 122.6
Word: the, start_time: 122.6, end_time: 122.8
Word: right, start_time: 122.8, end_time: 122.8
Word: one, start_time: 122.8, end_time: 124.0
Word: to, start_time: 124.0, end_time: 124.1
Word: the, start_time: 124.1, end_time: 124.3
Word: left, start_time: 124.3, end_time: 124.7
Word: at, start_time: 124.7, end_time: 125.3
Word: least, start_time: 125.3, end_time: 125.5
Word: points, start_time: 125.5, end_time: 125.9
Word: are, start_time: 125.9, end_time: 126.1
Word: left, start_time: 126.1, end_time: 126.3
Word: and, start_time: 126.3, end_time: 126.5
Word: right, start_time: 126.5, end_time: 126.6
Word: respectively, start_time: 126.6, end_time: 127.3
Word: on, start_time: 127.3, end_time: 127.6
Word: the, start_time: 127.6, end_time: 127.8
Word: horizon, start_time: 127.8, end_time: 128.0
Word: for, start_time: 128.0, end_time: 128.9
Word: the, start_time: 128.9, end_time: 129.0
Word: parallel, start_time: 129.0, end_time: 129.5
Word: lines, start_time: 129.5, end_time: 129.8
Word: of, start_time: 129.8, end_time: 129.9
Word: the, start_time: 129.9, end_time: 130.1
Word: phases, start_time: 130.1, end_time: 130.5
Word: converge, start_time: 130.5, end_time: 131.5
Transcript:  there's also that same Q can be viewed from a somewhat above or below perspective and it will have three Vanishing points one to the right one to the left and a third one behind it either below or above the Horizon the visual eyes if you look at a corner building from us a Street intersection you can look down one street right hand vanishing point look down the cross street see the left-hand vanishing point if you look up
Confidence: 0.9526185989379883
Word: there's, start_time: 133.1, end_time: 134.4
Word: also, start_time: 134.4, end_time: 134.7
Word: that, start_time: 134.7, end_time: 134.9
Word: same, start_time: 134.9, end_time: 135.2
Word: Q, start_time: 135.2, end_time: 135.6
Word: can, start_time: 135.6, end_time: 135.9
Word: be, start_time: 135.9, end_time: 136.0
Word: viewed, start_time: 136.0, end_time: 136.1
Word: from, start_time: 136.1, end_time: 136.3
Word: a, start_time: 136.3, end_time: 136.5
Word: somewhat, start_time: 136.5, end_time: 136.9
Word: above, start_time: 136.9, end_time: 137.2
Word: or, start_time: 137.2, end_time: 137.5
Word: below, start_time: 137.5, end_time: 137.6
Word: perspective, start_time: 137.6, end_time: 138.5
Word: and, start_time: 138.5, end_time: 139.1
Word: it, start_time: 139.1, end_time: 139.2
Word: will, start_time: 139.2, end_time: 139.3
Word: have, start_time: 139.3, end_time: 139.5
Word: three, start_time: 139.5, end_time: 139.8
Word: Vanishing, start_time: 139.8, end_time: 140.3
Word: points, start_time: 140.3, end_time: 140.8
Word: one, start_time: 140.8, end_time: 141.3
Word: to, start_time: 141.3, end_time: 141.4
Word: the, start_time: 141.4, end_time: 141.5
Word: right, start_time: 141.5, end_time: 141.6
Word: one, start_time: 141.6, end_time: 142.5
Word: to, start_time: 142.5, end_time: 142.5
Word: the, start_time: 142.5, end_time: 142.7
Word: left, start_time: 142.7, end_time: 143.1
Word: and, start_time: 143.1, end_time: 143.5
Word: a, start_time: 143.5, end_time: 143.6
Word: third, start_time: 143.6, end_time: 144.0
Word: one, start_time: 144.0, end_time: 144.3
Word: behind, start_time: 144.3, end_time: 144.7
Word: it, start_time: 144.7, end_time: 144.9
Word: either, start_time: 144.9, end_time: 145.6
Word: below, start_time: 145.6, end_time: 146.2
Word: or, start_time: 146.2, end_time: 146.8
Word: above, start_time: 146.8, end_time: 146.9
Word: the, start_time: 146.9, end_time: 147.3
Word: Horizon, start_time: 147.3, end_time: 147.6
Word: the, start_time: 147.6, end_time: 149.2
Word: visual, start_time: 149.2, end_time: 149.6
Word: eyes, start_time: 149.6, end_time: 149.9
Word: if, start_time: 149.9, end_time: 150.1
Word: you, start_time: 150.1, end_time: 150.3
Word: look, start_time: 150.3, end_time: 150.7
Word: at, start_time: 150.7, end_time: 151.0
Word: a, start_time: 151.0, end_time: 151.2
Word: corner, start_time: 151.2, end_time: 151.8
Word: building, start_time: 151.8, end_time: 152.3
Word: from, start_time: 152.3, end_time: 152.7
Word: us, start_time: 152.7, end_time: 152.8
Word: a, start_time: 152.8, end_time: 153.0
Word: Street, start_time: 153.0, end_time: 153.4
Word: intersection, start_time: 153.4, end_time: 153.5
Word: you, start_time: 153.5, end_time: 154.5
Word: can, start_time: 154.5, end_time: 154.6
Word: look, start_time: 154.6, end_time: 154.8
Word: down, start_time: 154.8, end_time: 155.0
Word: one, start_time: 155.0, end_time: 155.3
Word: street, start_time: 155.3, end_time: 155.7
Word: right, start_time: 155.7, end_time: 156.9
Word: hand, start_time: 156.9, end_time: 157.1
Word: vanishing, start_time: 157.1, end_time: 157.6
Word: point, start_time: 157.6, end_time: 158.0
Word: look, start_time: 158.0, end_time: 158.4
Word: down, start_time: 158.4, end_time: 158.5
Word: the, start_time: 158.5, end_time: 158.7
Word: cross, start_time: 158.7, end_time: 159.0
Word: street, start_time: 159.0, end_time: 159.4
Word: see, start_time: 159.4, end_time: 159.6
Word: the, start_time: 159.6, end_time: 159.7
Word: left-hand, start_time: 159.7, end_time: 160.2
Word: vanishing, start_time: 160.2, end_time: 160.6
Word: point, start_time: 160.6, end_time: 161.1
Word: if, start_time: 161.1, end_time: 161.5
Word: you, start_time: 161.5, end_time: 161.5
Word: look, start_time: 161.5, end_time: 161.8
Word: up, start_time: 161.8, end_time: 162.3
Transcript:  you can actually see him from the corner of the building the third vanishing point
Confidence: 0.900928795337677
Word: you, start_time: 163.2, end_time: 163.5
Word: can, start_time: 163.5, end_time: 163.7
Word: actually, start_time: 163.7, end_time: 163.9
Word: see, start_time: 163.9, end_time: 164.2
Word: him, start_time: 164.2, end_time: 164.4
Word: from, start_time: 164.4, end_time: 164.6
Word: the, start_time: 164.6, end_time: 164.7
Word: corner, start_time: 164.7, end_time: 165.1
Word: of, start_time: 165.1, end_time: 165.1
Word: the, start_time: 165.1, end_time: 165.2
Word: building, start_time: 165.2, end_time: 165.3
Word: the, start_time: 165.3, end_time: 165.9
Word: third, start_time: 165.9, end_time: 166.0
Word: vanishing, start_time: 166.0, end_time: 166.6
Word: point, start_time: 166.6, end_time: 167.0
Transcript:  these kinds of perspectives are easy to see if we view geometric shapes or man-made structures but of course natural scenes really don't have any sets of parallel lines they have no vanishing point but that does not mean they don't exhibit perspective the laws of Optics we're not understood at all in early Western Art artist recognize this affect course but they weren't really able to figure it out for accurately from the paintings inside Egyptian Pyramids to illustrations in medieval Christian churches near people were simply drawn larger or drawn lower in the picture on the cover of people that were father away there was no real understanding of how the physics of perception worked and never got a grasp of the idea of the vanishing point
Confidence: 0.9678382277488708
Word: these, start_time: 168.5, end_time: 168.9
Word: kinds, start_time: 168.9, end_time: 169.1
Word: of, start_time: 169.1, end_time: 169.2
Word: perspectives, start_time: 169.2, end_time: 170.0
Word: are, start_time: 170.0, end_time: 170.2
Word: easy, start_time: 170.2, end_time: 170.6
Word: to, start_time: 170.6, end_time: 170.7
Word: see, start_time: 170.7, end_time: 170.8
Word: if, start_time: 170.8, end_time: 171.0
Word: we, start_time: 171.0, end_time: 171.1
Word: view, start_time: 171.1, end_time: 171.4
Word: geometric, start_time: 171.4, end_time: 172.4
Word: shapes, start_time: 172.4, end_time: 172.9
Word: or, start_time: 172.9, end_time: 173.0
Word: man-made, start_time: 173.0, end_time: 173.3
Word: structures, start_time: 173.3, end_time: 174.2
Word: but, start_time: 174.2, end_time: 175.0
Word: of, start_time: 175.0, end_time: 175.1
Word: course, start_time: 175.1, end_time: 175.4
Word: natural, start_time: 175.4, end_time: 175.8
Word: scenes, start_time: 175.8, end_time: 176.4
Word: really, start_time: 176.4, end_time: 177.0
Word: don't, start_time: 177.0, end_time: 177.3
Word: have, start_time: 177.3, end_time: 177.4
Word: any, start_time: 177.4, end_time: 177.6
Word: sets, start_time: 177.6, end_time: 177.9
Word: of, start_time: 177.9, end_time: 178.0
Word: parallel, start_time: 178.0, end_time: 178.2
Word: lines, start_time: 178.2, end_time: 178.9
Word: they, start_time: 178.9, end_time: 179.0
Word: have, start_time: 179.0, end_time: 179.1
Word: no, start_time: 179.1, end_time: 179.2
Word: vanishing, start_time: 179.2, end_time: 179.8
Word: point, start_time: 179.8, end_time: 180.2
Word: but, start_time: 180.2, end_time: 180.6
Word: that, start_time: 180.6, end_time: 180.7
Word: does, start_time: 180.7, end_time: 180.9
Word: not, start_time: 180.9, end_time: 181.0
Word: mean, start_time: 181.0, end_time: 181.4
Word: they, start_time: 181.4, end_time: 181.6
Word: don't, start_time: 181.6, end_time: 181.8
Word: exhibit, start_time: 181.8, end_time: 182.1
Word: perspective, start_time: 182.1, end_time: 182.8
Word: the, start_time: 182.8, end_time: 183.7
Word: laws, start_time: 183.7, end_time: 184.0
Word: of, start_time: 184.0, end_time: 184.0
Word: Optics, start_time: 184.0, end_time: 184.7
Word: we're, start_time: 184.7, end_time: 184.9
Word: not, start_time: 184.9, end_time: 185.2
Word: understood, start_time: 185.2, end_time: 185.7
Word: at, start_time: 185.7, end_time: 185.9
Word: all, start_time: 185.9, end_time: 186.3
Word: in, start_time: 186.3, end_time: 186.4
Word: early, start_time: 186.4, end_time: 186.8
Word: Western, start_time: 186.8, end_time: 187.2
Word: Art, start_time: 187.2, end_time: 187.5
Word: artist, start_time: 187.5, end_time: 188.4
Word: recognize, start_time: 188.4, end_time: 189.1
Word: this, start_time: 189.1, end_time: 189.2
Word: affect, start_time: 189.2, end_time: 189.8
Word: course, start_time: 189.8, end_time: 190.3
Word: but, start_time: 190.3, end_time: 190.6
Word: they, start_time: 190.6, end_time: 190.8
Word: weren't, start_time: 190.8, end_time: 191.1
Word: really, start_time: 191.1, end_time: 191.5
Word: able, start_time: 191.5, end_time: 191.6
Word: to, start_time: 191.6, end_time: 191.8
Word: figure, start_time: 191.8, end_time: 192.1
Word: it, start_time: 192.1, end_time: 192.2
Word: out, start_time: 192.2, end_time: 192.3
Word: for, start_time: 192.3, end_time: 192.5
Word: accurately, start_time: 192.5, end_time: 192.9
Word: from, start_time: 192.9, end_time: 193.7
Word: the, start_time: 193.7, end_time: 193.9
Word: paintings, start_time: 193.9, end_time: 194.3
Word: inside, start_time: 194.3, end_time: 194.6
Word: Egyptian, start_time: 194.6, end_time: 195.5
Word: Pyramids, start_time: 195.5, end_time: 195.8
Word: to, start_time: 195.8, end_time: 196.6
Word: illustrations, start_time: 196.6, end_time: 197.5
Word: in, start_time: 197.5, end_time: 197.7
Word: medieval, start_time: 197.7, end_time: 198.3
Word: Christian, start_time: 198.3, end_time: 198.8
Word: churches, start_time: 198.8, end_time: 199.4
Word: near, start_time: 199.4, end_time: 199.8
Word: people, start_time: 199.8, end_time: 200.5
Word: were, start_time: 200.5, end_time: 200.6
Word: simply, start_time: 200.6, end_time: 201.0
Word: drawn, start_time: 201.0, end_time: 201.3
Word: larger, start_time: 201.3, end_time: 202.0
Word: or, start_time: 202.0, end_time: 202.6
Word: drawn, start_time: 202.6, end_time: 202.9
Word: lower, start_time: 202.9, end_time: 203.3
Word: in, start_time: 203.3, end_time: 203.4
Word: the, start_time: 203.4, end_time: 203.5
Word: picture, start_time: 203.5, end_time: 203.9
Word: on, start_time: 203.9, end_time: 204.7
Word: the, start_time: 204.7, end_time: 204.8
Word: cover, start_time: 204.8, end_time: 205.0
Word: of, start_time: 205.0, end_time: 205.2
Word: people, start_time: 205.2, end_time: 205.3
Word: that, start_time: 205.3, end_time: 205.6
Word: were, start_time: 205.6, end_time: 205.7
Word: father, start_time: 205.7, end_time: 206.1
Word: away, start_time: 206.1, end_time: 206.4
Word: there, start_time: 206.4, end_time: 207.1
Word: was, start_time: 207.1, end_time: 207.1
